cod_e;nom_e;dir_e;tel_e;id_carr;fech_nac
20259517001;Lady Geraldine Rodriguez Mendoza;direccion E1;3202705897;917;1998-02-13
20259517002;Juan Carlos Medina Rodriguez;direccion E2;3005885698;917;2001-05-13
20259517003;Emily Mendoza Ramirez;direccion E3;3194586385;917;1997-01-13
20259517004;Caroline Visbal Ortega;direccion E4;3138756945;917;1998-10-13
20249517003;Cesar Ortega Pinilla;direccion E5;3001235868;917;1999-08-01
20259517005;Juan Pablo Sepulveda Lopez;direccion E6;3128597462;917;2003-08-14
20259517006;Jhon Mendoza Martinez;direccion E7;3002568545;917;1993-02-13
20249518018;Maria Jose Moreno Gaona;direccion E8;3202861587;918;2000-08-01
20249518021;Juan Alejandro Galvis Torres;direccion E9;;918;1997-03-30
20259518001;Ashley Ortiz Abril;direccion E10;3005686945;918;1998-11-12
20259518002;Santiago Soler Rodriguez;direccion E11;3193675976;918;1996-08-01
20259518003;Juan Carlos Fonseca Medina;direccion E13;3159986754;918;1998-03-30
20259518004;Zulay Martinez Aldana;direccion E14;;918;1999-11-12
20259518005;Angie Maria Ortiz Perez;direccion E15;3158978561;918;1998-08-01
20259518006;Angie Maria Sepulveda Ortega;direccion E16;3201547856;918;1999-03-30
20259577001;Jhon Jairo Berdugo Gaitan;direccion E17;3197891125;16877;2000-11-12
20259577002;Javier Zuluaga Ortiz;direccion E18;3202785614;16877;2000-08-01
20259577003;Carolina Trujllo Mendoza;direccion E19;3188965175;16877;1998-11-12
20259577004;Claudia Torres Bohorquez;direccion E20;;16877;1997-11-12
20259577005;Roberto Guerrero Rodriguez;direccion E21;31525000086;16877;1999-03-30
