cod_e;nom_e;dir_e;tel_e;id_carr;fech_nac
20257517001;Claudia Fernanda Rodriguez Perez;direccion EME1;3005998600;11845;2005-02-13
20257517002;Jesus Moreno Paez;direccion EME2;3178526541;11845;2001-05-13
20257517003;Luciana Aldana Fernandez;direccion EME3;3137896321;11845;2001-01-13
20257517004;Jairo Tibabosa Soler;direccion EME4;3007414568;11845;2005-10-13
20247517003;Cristian Roberto Guerrero Suarez;direccion EME5;3008526543;12956;1999-08-01
20257517005;Steven Mendoza Mora;direccion EME6;;12956;2003-08-14
20257517006;Leny Fernandez Hurtado;direccion EME7;;12956;1996-02-13
20257518018;Nathalia Merchan Suarez;direccion EME8;;12956;2000-07-25
20257518004;Maryann Baena Ortiz;direccion EME9;3205699841;12956;1999-11-12
20257518005;Alvaro Nicolas Fonseca;direccion EME10;;12956;2005-08-01
20257518006;Daniela Marin Visbal;direccion EME11;;12956;1999-03-30
20257519001;Luisa Garcia Peñuela;direccion EME12;3007891472;91454;2000-11-12
20257519002;Anderson Alape Blanco;direccion EME13;3157896541;91454;2000-08-01
20257519003;Emily Suarez Castillo;direccion EME14;;91454;2005-11-12
20257519004;Daniel Muñoz Aldana;direccion EME15;;91454;2008-11-12
20257519005;Johana Rojas Garcia;direccion EME16;;91454;1997-08-30
20257519006;Catalina Aldana Nuñez;direccion EME17;;91454;1999-03-30
20257519007;Diego Hernandez Muñoz;direccion EME18;3504521896;91454;1998-06-27
20257519008;Laura Valentina Guerrero Marin;direccion EME19;;91454;1993-05-13
